,node,name,lat,lon,closeness,Station,Trafic
994,975,GAITE,48.838814669136,2.321991781957784,0.00013502271822570989,GAITE,3009210
995,976,GAITE,48.837951981216136,2.322945100085369,0.000175096846604756,GAITE,3009210
996,9012,GAITE,48.77883012877619,2.232618490241656,0.00012602008510365979,GAITE,3009210
997,1002,NOTRE-DAME-DES-CHAMPS,48.84462130823025,2.3289347211572275,0.00017489323400366776,NOTRE-DAME-DES-CHAMPS,2074698
998,20773,NOTRE-DAME-DES-CHAMPS,48.84490888358271,2.3285806322371982,0.00012970784824043515,NOTRE-DAME-DES-CHAMPS,2074698
999,1030,CORENTIN CELTON-METRO,48.82739562507031,2.2779861305343347,0.0001436309696902567,CORENTIN CELTON-METRO,3486870
1000,1031,CORENTIN CELTON-METRO,48.82700948660238,2.278653576085032,0.00014876790321958062,CORENTIN CELTON-METRO,3486870
1001,9962,CORENTIN CELTON-METRO,48.82736897894692,2.27862594528449,0.0001306117918669088,CORENTIN CELTON-METRO,3486870
1002,1174,LIBERTE,48.881676627413,2.4297662965308153,0.00011970938547199188,LIBERTE,2574219
1003,1175,LIBERTE,48.88175757603919,2.4296846806760315,1.4433583920401236e-06,LIBERTE,2574219
1004,10989,LIBERTE,48.89144597329983,2.215068338443355,0.00013165928206770996,LIBERTE,2574219
1005,10990,LIBERTE,48.89125721485237,2.2150415249938704,0.00013339006408086252,LIBERTE,2574219
1006,15993,LIBERTE,48.798192601376755,2.294753345283415,0.0001468075266690834,LIBERTE,2574219
1007,16038,LIBERTE,48.79796754114928,2.2937467800028233,0.00014872006183598897,LIBERTE,2574219
1008,20543,LIBERTE,48.79794970412889,2.2941277270548075,0.0001515700154179058,LIBERTE,2574219
1009,20739,LIBERTE,48.79847993804318,2.2939912381142276,0.00014967752015255086,LIBERTE,2574219
1010,21322,LIBERTE,48.96597802584934,2.2794652936593978,0.00012058835625777367,LIBERTE,2574219
1011,21323,LIBERTE,48.96624749846566,2.2792056624802877,8.557237613095292e-05,LIBERTE,2574219
1012,22463,LIBERTE,48.80122090468318,2.2931045919619266,0.00014296846067081653,LIBERTE,2574219
1013,22464,LIBERTE,48.801373748209365,2.293240518156548,0.00014016599280083618,LIBERTE,2574219
1014,22576,LIBERTE,48.8255747954595,2.406389823927422,0.00015588842946730983,LIBERTE,2574219
1015,1245,GALLIENI,48.86413353126702,2.4171345680841587,0.00011827378861901578,GALLIENI,5884810
1016,1246,GALLIENI,48.86383723031728,2.416711829392418,0.0,GALLIENI,5884810
1017,3268,GALLIENI,48.83714148448997,2.2415957204910764,0.00012750909256068193,GALLIENI,5884810
1018,3269,GALLIENI,48.837027668772585,2.245435352476561,0.00011628598954804043,GALLIENI,5884810
1019,5764,GALLIENI,48.76113351614437,2.329967716107387,0.00013016167919011076,GALLIENI,5884810
1020,5765,GALLIENI,48.76133126781931,2.3301852104480387,0.00014223701604859624,GALLIENI,5884810
1021,9981,GALLIENI,48.82328229032241,2.267006459297967,4.175375480350246e-07,GALLIENI,5884810
1022,10217,GALLIENI,48.90962496740386,2.2869041697439894,1.5546451000501408e-06,GALLIENI,5884810
1023,10218,GALLIENI,48.909417811670004,2.2858409199798717,0.00012778020144638813,GALLIENI,5884810
1024,10619,GALLIENI,48.8871763106982,2.244092729902989,0.00015568608380556265,GALLIENI,5884810
1025,12117,GALLIENI,48.83463149658059,2.228285518135708,0.00013968139005280045,GALLIENI,5884810
1026,12118,GALLIENI,48.83466724735208,2.22806761335688,1.9093679449668086e-06,GALLIENI,5884810
1027,17880,GALLIENI,48.90975057188337,2.28639958687339,0.00012586102738741973,GALLIENI,5884810
1028,17881,GALLIENI,48.9097414682376,2.286126914340587,0.00010623613416656694,GALLIENI,5884810
1029,20302,GALLIENI,48.9097415790285,2.2863859616270723,0.00012486958026135294,GALLIENI,5884810
